playerID,yearID,salary,stint,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,W,L,G_right,GS,CG,SHO,SV,IPouts,H_right,ER,HR_right,BB_right,SO_right,BAOpp,ERA,IBB_right,WP,HBP_right,BK,BFP,GF,R_right,SH_right,SF_right,GIDP_right,GS_right,InnOuts,PO,A,E,DP,PB,WP_right,SB_right,CS_right,ZR,Training-Validation
weaveje02,2007,385000,1,28,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,7,28,28,0,0,0,483,178,70,17,45,115,0.28,3.91,3,4,2,0,695,0,77,5,5,10,28,483,10,17,2,1,0,0,0,0,0,Training
carroja01,2009,2500000,1,93,0,315,53,87,10,2,2,26,4,2,36,63,0,3,3,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
hudsoti01,2009,15500000,1,7,0,12,2,4,0,0,1,2,0,0,2,1,0,0,1,0,0,0,2,1,7,7,0,0,0,127,49,17,4,13,30,0.295,3.61,0,0,0,0,180,0,17,1,0,5,7,127,3,4,0,1,0,0,0,0,0,Training
elbersc01,2012,488500,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,0,0,0,0,98,27,8,3,13,29,0.231,2.2,1,3,1,0,133,12,8,0,2,3,0,98,1,3,0,1,0,0,0,0,0,Training
santaer01,2015,13500000,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,17,17,0,0,0,324,104,48,12,36,82,0.253,4.0,2,3,4,0,457,0,50,4,2,9,17,324,10,14,1,2,0,0,0,0,0,Training
hamiljo03,2012,15250000,1,148,0,562,103,160,31,2,43,128,7,4,60,162,13,5,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
hawkila01,2006,4400000,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,60,0,0,0,0,181,73,30,4,15,27,0.3,4.48,3,2,0,0,261,12,30,1,2,4,0,181,4,7,1,1,0,0,0,0,0,Training
eckstda01,2008,4500000,3,94,0,324,32,86,21,0,2,27,2,1,31,32,1,9,9,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
grandcu01,2015,16000000,1,157,0,580,98,150,33,2,26,70,11,6,91,151,3,7,0,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
janispa01,2011,437500,1,114,0,336,27,72,14,1,0,23,3,2,18,46,1,4,3,5,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
gomezje01,2013,500000,1,34,0,13,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,34,8,0,0,0,242,65,30,6,28,53,0.223,3.35,3,6,3,0,333,6,35,4,6,9,8,242,7,13,0,0,0,0,0,0,0,Training
rzepcma01,2013,1100000,3,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0,0,0,92,27,11,2,10,29,0.523,8.73,3,0,4,0,129,10,13,1,1,3,0,92,1,2,0,0,0,0,0,0,0,Training
phillan01,2006,333150,1,110,0,246,30,59,11,3,7,29,3,2,15,56,0,0,0,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
lowede01,2009,15000000,1,34,0,54,6,12,0,0,0,1,0,0,4,16,0,0,12,0,1,0,15,10,34,34,0,0,0,584,232,101,16,63,111,0.301,4.67,7,4,4,2,855,0,109,11,6,28,34,584,17,24,2,1,0,0,0,0,0,Training
darnatr01,2016,542604,1,75,0,251,27,62,7,0,4,15,0,0,19,50,1,3,2,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validation
